case_id	ENSG00000168394.10	ENSG00000091656.14	ENSG00000138755.5	ENSG00000166147.12	ENSG00000050628.19
b127b826-fab9-4551-9300-efb5542621d3	31.4841	0.3303	16.0742	6.2684	1.4493
848d4e80-9658-4f99-bcdb-e3f7275bb72d	7.1429	0.2193	6.9277	4.4783	1.0433
f169018a-e95d-4f32-a807-da64ea3b83e2	0.9916	0.0443	0.1343	0.9984	0.1949
085fbb0b-0924-4c26-a240-94b13d1742b6	17.7081	0.2221	5.249	6.9007	1.5739
36079a28-dfac-435d-a2f0-e00f653494bd	16.2959	0.2812	42.8376	4.33	2.0474
99d74447-9236-438c-8543-e876b4daa8bf	134.4708	0.8173	54.9422	0.7434	0.1466
c2126c09-0465-43c1-bae1-a50e83d5f7d0	26.1354	0.2239	56.3802	6.9124	1.084
d8919e26-2ca9-4d13-99b0-9fe03b41ab56	99.5609	0.2963	77.3836	3.195	1.7053
14cca285-5fbb-45c8-bbd3-3a901154a1e3	44.8236	0.0924	41.8919	2.5899	0.7122
6223da27-571c-4ace-80d7-9245693382f3	50.5816	0.2548	158.5286	2.2482	1.7114
11ed8b7d-2483-4b5e-9893-3376d1d49672	31.872	0.2633	32.2272	0.834	2.4547
1c545cda-2a3a-41bd-9f99-e3712e31ecdd	13.9185	0.3549	13.0638	3.233	1.0799
01026cf5-8582-4864-8e89-111c05660eb6	17.9113	0.1696	10.6958	1.1598	0.7201
fb3f8ed1-cc6f-406b-8b3d-a5eeff0b4196	26.3023	0.2739	14.155	4.2338	1.908
0f277939-aad8-48c8-9653-37c08ec8b021	23.1603	0.1043	0.8293	0.5349	1.6478
53c60788-10b1-4ba1-afdd-63376587b7cb	155.6407	0.0024	196.7516	0.1498	0.0752
68f99d2b-5a98-4cd8-8192-5f36fab4221b	20.6312	0.4884	5.4147	9.5352	1.621
df907ef8-3c26-4c50-8a87-ee8290296117	8.5801	0.0484	2.1403	0.8487	0.1224
206fc122-71e4-4601-8841-ffe3843636d1	21.9251	0.0206	102.7244	0.9652	0.2592
b9337dee-3bdb-49b2-90e4-97249e30418d	35.5561	0.0776	17.3718	0.4993	0.3348
13546f31-27a6-4549-8165-126c7d847c2a	11.0478	0.1676	1.7058	2.0817	0.1816
de970d08-9907-464c-8175-47f6d2be62e0	36.0341	0.0613	34.6228	2.6757	1.885
0f875052-cf76-45f2-9c76-021ee605479d	25.5977	0.2349	44.3637	3.3195	0.5016
faf8cebd-72ad-4da2-b55e-73cddd8dafff	19.0077	0.3674	29.4046	2.8615	1.5992
b295d458-952a-42af-9f7f-2c07e895990c	66.8481	0.1738	3.4357	2.053	0.5221
718dff52-0d0b-48d6-89c1-cf594a6ab883	52.6759	0.318	49.6986	3.6459	0.2396
7e06a271-ede9-40dc-a5f1-6eebaa82de8b	15.0596	0.8837	13.0401	10.6377	2.2397
26e77e24-e20c-4b17-b038-e33663d72056	49.838	0.5566	19.0575	6.4661	1.9397
420d40ba-e71a-495f-a5fa-7bd1b9a7dcc7	5.7306	0.0696	0.5691	1.493	0.1777
b5327171-0105-403e-9b91-125eecb02389	13.0191	0.2934	6.6197	2.8786	0.4647
2c8ff3ae-ef06-4e3c-b198-fb8f57ebbd61	14.7606	2.4757	18.5875	11.9854	2.0071
aa6ca4cf-aad7-48d5-855b-3aff763ff527	75.9633	0.0812	33.16	2.0052	0.2024
742033a6-ba74-4871-9046-14972d6676e4	6.5143	0.5965	1.5697	5.981	0.5533
52e4305e-1ff0-4a92-a38a-136696eb8968	44.3556	0.019	17.5236	0.4488	0.0486
a2319490-b85d-4219-a1b0-fa1ec432d5c8	41.1344049959	0.0449940706810999	85.67015564180001	1.2471307269	0.0960998398473
a2319490-b85d-4219-a1b0-fa1ec432d5c8	5.42097552316	0.511057952509	0.889244128851	9.06661285139	0.692096248231
