	case_id	ENSG00000078237.5	ENSG00000198833.6	ENSG00000132128.15	ENSG00000253716.4	ENSG00000269981.1	ENSG00000123243.13	ENSG00000060762.17	ENSG00000151882.10	ENSG00000143554.12	ENSG00000238142.1	ENSG00000270225.1	ENSG00000185608.7	ENSG00000204421.2	ENSG00000173801.15	ENSG00000167772.10	ENSG00000241258.5	ENSG00000177337.6	ENSG00000133067.16	ENSG00000218510.5	ENSG00000114554.10	ENSG00000105409.14	ENSG00000124635.8	ENSG00000278196.1	ENSG00000235241.1	ENSG00000023734.9	ENSG00000125952.17	ENSG00000204713.9	ENSG00000205268.9	ENSG00000248859.2	ENSG00000111276.9	ENSG00000235957.1	ENSG00000223784.1	ENSG00000128591.14	ENSG00000178896.6	ENSG00000142599.16	ENSG00000140259.6	ENSG00000249599.1	ENSG00000147955.15	ENSG00000180447.6	ENSG00000130414.10	ENSG00000206147.5	ENSG00000120159.10	ENSG00000130396.19	ENSG00000091986.14	ENSG00000105202.6	ENSG00000151715.6	ENSG00000134014.15	ENSG00000131094.3	ENSG00000232810.3	ENSG00000263961.5	ENSG00000106144.18	ENSG00000276223.1	ENSG00000182187.3	ENSG00000173917.10	ENSG00000119335.15	ENSG00000089199.8	ENSG00000258289.6	ENSG00000181218.5	ENSG00000273796.1	ENSG00000205609.11	ENSG00000123983.12	ENSG00000240972.1	ENSG00000137207.10	ENSG00000136003.14	ENSG00000211959.2	ENSG00000183036.9	ENSG00000240489.1	ENSG00000168394.10	ENSG00000163605.13	ENSG00000007392.15	ENSG00000276737.1	ENSG00000274310.1	ENSG00000167619.10	ENSG00000267280.4	ENSG00000143631.10	ENSG00000112977.14	ENSG00000026508.15
0	b127b826-fab9-4551-9300-efb5542621d3	6.0992	24.6095	16.146	4.6714	1.6725	1.7829	9.2169	1.2790000000000001	2.1629	5.95	7.7356	14.4152	1.331	31.83	2.5748	6.9649	1.8257	1.8184	5.2459	5.504	0.3035	7.8178	8.2879	3.145	99.6592	20.7614	14.7069	3.5184	0.0	30.6452	40.7059	1.4597	2.0008	22.0042	8.1082	17.4866	5.239	25.8764	29.2346	13.4208	7.9688	6.4755	12.6959	28.9021	106.7027	1.669	6.9216	0.3001	0.8244	75.0942	6.8754	4.1638	7.4099	15.1203	225.3975	0.2285	16.9635	17.5614	2.617	15.6459	20.3553	12.9267	42.1049	20.7096	41.5542	13.4693	38.7283	31.4841	32.2183	5.1388	0.0	2.4415	0.0164	1.3248	0.0102	21.5578	7.7627
1	848d4e80-9658-4f99-bcdb-e3f7275bb72d	2.4129	45.8409	13.624	1.5634	0.2919	12.7441	16.889	25.0283	2.3337	20.0699	25.074	25.0358	0.526	40.2627	9.6349	11.8482	3.2880000000000003	1.2841	16.7061	2.1094	0.0	10.9066	0.5568	3.8345	58.3344	15.9887	12.9484	4.1361	0.0	16.7343	30.868000000000002	9.7624	0.7324	10.5454	3.585	28.9749	5.5152	69.6037	37.3256	5.5742	22.5903	16.3223	12.0016	22.1764	100.8208	5.6821	9.0349	0.8001	1.2612	17.3494	2.8319	0.5181	0.0647	64.9355	293.79900000000004	0.1005	7.3933	8.6132	1.4775	11.0082	12.2103	18.9848	41.4723	33.8172	2.438	0.0	52.3168	7.1429	19.7636	5.5497	0.0	0.2678	0.0157	0.2062	0.0423	66.7981	7.2695
2	f169018a-e95d-4f32-a807-da64ea3b83e2	1.8534	20.8295	8.1261	5.0648	0.0	0.2768	20.845	0.9129999999999999	3.327	3.5422	11.5903	21.9571	3.1145	5.3458	1.1699	6.1576	5.1679	8.0044	23.2627	0.6166	0.016	0.6888	0.0	1.1271	69.0301	16.2109	8.6699	3.6848	1.6797	25.3584	92.01700000000001	0.223	0.9563	10.929	4.8032	42.3096	19.928	26.24	22.8858	14.4386	10.7068	12.1305	10.081	6.3827	239.7558	4.499	11.0549	2.2106	0.0244	11.279000000000002	1.4584	1.1685	10.7824	0.5952	142.4943	0.1894	8.4154	32.1688	3.3534	17.0148	9.631	8.4079	23.4689	46.8572	0.1925	96.9534	23.1887	0.9916	38.661	10.138	0.0	1.3874	0.0155	3.2893	0.0	17.1325	1.3094
3	085fbb0b-0924-4c26-a240-94b13d1742b6	5.4947	26.3481	22.2952	3.8063	2.4251	1.4928	16.3784	10.9523	2.059	10.2082	30.8761	20.4939	0.2204	19.0026	11.4751	10.0254	3.3104	0.6629999999999999	29.4748	2.0138	0.0079	6.3116	1.2442	3.5091	68.8238	15.7208	14.8388	4.7361	0.0	31.8373	36.2935	0.7511	0.8731	22.0277	6.8679	25.8823	10.1482	27.0829	23.6175	10.7872	3.7384	10.404000000000002	8.8173	26.0824	66.3964	3.4397	8.8544	0.2503	4.6654	84.2279	2.9804	0.9405	0.4424	27.2982	117.0013	0.0447	23.3456	7.5595	6.7162	10.787	20.5086	16.074	41.3099	34.4079	2.8598	27.7662	19.3519	17.7081	31.18	6.3631	0.0	1.4399	0.0	3.964	0.0127	33.1728	7.0658
4	36079a28-dfac-435d-a2f0-e00f653494bd	4.6659	24.1402	9.0651	2.9318	0.879	6.0073	13.9141	3.6328	3.6131	8.7638	12.2807	13.3398	7.7331	27.1687	5.9008	7.346	6.5426	3.6406	8.8825	6.7901	0.3655	10.2486	14.1354	3.0305	58.2807	22.7104	6.9294	8.3327	1.2631	34.4732	64.3617	1.0436	0.8026	14.7268	7.9034	38.3989	5.5368	27.6247	25.7417	12.8622	12.2323	12.866	10.3746	27.3469	97.059	3.5463	11.8107	1.4458	2.6315	72.1729	3.7509	0.5201	0.0	26.0226	176.2519	0.0183	17.9165	25.9873	1.335	8.7361	15.9074	14.7821	21.3557	32.2063	15.9577	12.1512	30.9793	16.2959	25.9385	6.6292	0.0	5.3102	0.0315	0.345	16.0105	24.3877	9.5196
5	99d74447-9236-438c-8543-e876b4daa8bf	1.7843	22.2296	25.4196	7.7725	3.5805	5.0172	10.9243	4.8668	5.0436	12.7936	0.8440000000000001	16.4473	0.7616	68.0982	0.9263	10.4285	11.8249	3.9938	32.1344	3.6076	0.0863	12.1001	0.4243	3.3072	37.2132	15.8784	16.7137	3.5667	0.0	40.6102	2.3027	0.1929	0.6908	15.6486	18.7294	23.4195	9.5172	51.7215	11.9483	9.4909	0.0	9.7255	22.1511	3.5685	55.66	1.4168	4.0603	3.4482	0.976	128.6335	5.215	1.8158	0.4828	29.6008	224.014	0.0097	7.4205	31.6646	1.8126	0.5721	9.7095	11.2424	46.6448	21.8122	7.6981	0.0	4.6592	134.4708	51.0691	6.5001	0.0	1.3571	0.0167	4.2526	0.0416	33.57	4.3214
6	c2126c09-0465-43c1-bae1-a50e83d5f7d0	9.974	35.7534	7.7943	5.6806	0.0	0.8124	18.218	1.8897	2.2438	9.4267	2.1356	26.8615	1.7366	7.3787	9.9042	12.2149	9.0155	1.5248	10.9605	1.9448	0.0208	5.5262	1.6340000000000001	3.2121	110.87700000000001	12.8517	16.6923	6.9655	0.0	41.8071	5.5425	0.1934	0.6613	19.7657	3.1115	47.416000000000004	1.4578	49.897	19.1101	5.8332	0.4567	12.4753	5.5742	38.0016	112.0092	0.4687	4.2185	1.6435	2.9207	3.7796	2.0478	0.9502	0.2214	15.5951	125.4114	1.1576	13.115	36.6613	2.5292	1.5493	12.5231	25.1089	28.2221	27.9527	1.252	24.8563	6.745	26.1354	35.4485	6.1399	0.0	3.8968	0.0134	1.0883	0.0083	32.7388	16.909000000000002
7	d8919e26-2ca9-4d13-99b0-9fe03b41ab56	7.265	42.2176	7.8987	1.8211	0.4505	2.0378	14.3989	6.0046	1.8633	8.7305	12.1485	14.0848	1.0439	11.5112	1.1684	17.8049	2.7552	2.0936	7.8163	2.5796	0.025	5.297000000000001	8.84	1.3432	73.1388	13.5059	18.3802	3.1589	0.5331	27.3529	89.7322	0.6511	0.5009	19.9131	1.4533	26.5071	25.37	24.6821	25.3879	9.0604	3.6605	18.521	3.5465	25.6503	86.4431	1.7751	11.5434	0.2634	3.1042	50.4019	2.7384	3.9599	0.8649	6.7363	145.1204	0.0658	12.1212	47.4575	0.9122	9.7403	15.5324	6.4217	53.7498	21.9518	17.058	0.8097	22.4216	99.5609	35.7306	5.6483	0.0	0.7578	0.0	0.3182	0.0167	48.3674	9.1803
8	14cca285-5fbb-45c8-bbd3-3a901154a1e3	5.6521	50.4251	9.3356	5.9246	0.7120000000000001	0.6543	20.2726	24.8508	5.397	15.2581	2.0784	17.1504	2.8415	11.4835	6.1644	11.7952	5.0271	3.5517	15.9509	4.1233	0.1316	14.4025	0.7762	6.3023	42.0837	8.4594	16.3692	6.7537	0.4213	31.3627	14.0419	0.882	0.2942	31.6406	1.7549	24.9097	3.2316	30.9535	14.0429	9.7415	0.0723	24.6101	10.2256	5.6851	45.8092	3.4513	4.8394	2.186	3.6797	38.1535	5.0593	3.009	5.8884	2.3227	162.0178	0.2304	5.5565	9.6395	0.9612	1.3192	13.8014	29.2334	40.445	30.4815	3.4097	58.5341	9.0717	44.8236	28.2928	10.2695	0.0	5.2266	0.0	7.2934	0.0053	40.8397	7.0839
9	6223da27-571c-4ace-80d7-9245693382f3	10.3492	56.4779	9.1997	1.7129	0.1436	0.3681	66.9625	5.1212	3.2438	13.6501	1.7969	27.4422	0.1479	2.5586	14.9715	8.9184	1.4727	0.2937	29.6756	0.7156	0.0239	6.5693	10.4127	1.6862	90.8957	13.3326	10.2561	12.745	0.0	54.0088	15.9334	1.7348	0.1626	17.9741	1.4113	30.4074	7.5034	32.4682	17.3143	4.2731	0.6127	14.7108	5.6517	11.5182	110.1431	1.8865	3.7233	0.504	2.239	8.612	0.4933	2.7679	0.0	15.331	245.2995	0.027000000000000003	10.1521	44.5723	0.6544	1.4252	14.6313	33.7277	20.6019	23.1653	37.2385	0.0	14.8113	50.5816	28.1437	2.0276	0.0	0.7908	0.0155	0.2706	0.0064	14.5998	8.4727
10	11ed8b7d-2483-4b5e-9893-3376d1d49672	5.1201	36.4946	13.1149	3.0635	0.0	6.2268	12.177	2.6909	2.146	18.9999	18.1953	16.2846	1.0249	47.0139	1.4539	14.2714	2.9949	1.4894	18.2886	3.786	0.0849	11.2583	1.1683	2.2252	57.6158	20.08	7.4749	4.3682	0.0	30.2995	57.9697	2.7025	0.6606	15.2959	4.2219	37.596	17.5271	33.0435	14.9025	8.6936	8.3969	25.3738	8.1599	7.1947	82.6507	2.9444	4.5091	0.1679	24.5403	28.9686	3.2689	1.5528	2.4418	18.2955	196.5114	0.0575	20.6606	7.8696	1.3175	10.1555	15.6374	12.8589	30.9169	23.5261	1.1253	0.8648	37.7002	31.872	25.493000000000002	4.611000000000001	0.0	1.1238	0.0165	0.1442	0.1296	29.5584	10.3927
11	1c545cda-2a3a-41bd-9f99-e3712e31ecdd	7.0353	32.9263	2.0188	4.1716	2.506	1.1648	55.1074	3.2389	2.4645	11.5377	25.82	14.2108	0.3036	17.2222	3.1036	14.1798	3.9379	8.2488	10.0841	7.2377	0.3515	6.5222	4.5803	3.1317	177.78099999999998	10.5183	12.3824	8.9031	1.4204	33.4208	28.7824	0.0913	1.5113	13.8956	19.9446	21.559	0.5735	33.1148	10.1887	8.3317	2.0663	12.4874	43.6565	21.0432	86.5128	1.798	5.5613	2.0044	0.8743	13.4647	11.5104	1.1962	0.1306	2.6883	149.8886	0.5077	9.9085	9.6828	1.2686	7.787999999999999	13.4154	9.5886	19.006	19.3058	13.988	0.6056	23.3544	13.9185	23.7756	4.4333	0.0	0.6087	0.0634	0.1041	0.0755	52.913999999999994	8.7919
