File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
4b25720c-2fad-4055-8bd9-34ce9cf5aa32	51b8dd7e-1686-46bb-9a29-b0a368eaadcc.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-1501	TCGA-13-1501-01A	Primary Tumor
5e8d1839-40ab-432b-9262-6a72540c5e18	9f223240-1020-4450-a6ec-a6168a9211e5.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-23-1122	TCGA-23-1122-01A	Primary Tumor
691ec8c8-17b3-4c26-83f6-bd76817d9238	0315439e-694c-4b14-a27c-29dfa117c764.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-0885	TCGA-13-0885-01A	Primary Tumor
18863638-3369-4ca3-bc0f-a251448259b3	4d337bb6-8e53-4142-8c22-432bce3e754d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-30-1860	TCGA-30-1860-01A	Primary Tumor
81c89a1f-19d6-43df-aadf-3db83979a15f	ce511378-d8f8-494e-a07d-2e0dbed68bf8.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-04-1365	TCGA-04-1365-01A	Primary Tumor
fe36a6b6-6401-4fc5-9109-bbec77b1828e	968544ba-7990-41e8-a0ee-5206ceeb47ca.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-04-1350	TCGA-04-1350-01A	Primary Tumor
5e57bd1d-f38d-447d-9d7c-1fa1c5a2ecaa	b269c35d-7f91-4c66-8bef-59906ec87745.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-29-1697	TCGA-29-1697-01A	Primary Tumor
ffcaf8af-faab-45c3-bb3f-5c497b675b9b	8eb0f5ac-1196-4cc5-b25b-f9e76301772e.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1847	TCGA-24-1847-01A	Primary Tumor
7d1ba86c-e4e9-4ebd-8eaa-5cdf159feeb2	f920e615-9b0a-4767-821b-201c407730c4.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-0726	TCGA-13-0726-01A	Primary Tumor
a1a8fc1d-e8a6-4e82-b698-4ba4fbb3247d	16b391ee-1f65-4665-bf34-5447eed6800b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-61-1724	TCGA-61-1724-01A	Primary Tumor
64d1a924-e885-4d38-88b1-f5bca111a263	58f06031-8e8c-4865-8cea-ba65d28317a9.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-2033	TCGA-24-2033-01A	Primary Tumor
797612c6-79cf-4ae8-a2a9-68f9bb4d263d	03c8a50d-0484-42e6-ade8-d214684f62c9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-29-2425	TCGA-29-2425-01A	Primary Tumor
9cbd088b-5351-488b-be55-7bd58eb503eb	b4760c72-6405-4b0c-b13b-dbef127b7ffb.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-09-2056	TCGA-09-2056-01B	Primary Tumor
8ba9aa6f-06f8-4381-8972-20b7da4d0575	9c330249-5ea7-4795-98c1-9c8f2cea6ac3.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-0970	TCGA-24-0970-01B	Primary Tumor
f2a22294-e969-4a26-b19e-1370f0947174	04098317-63b1-43eb-9b7f-e8e619e52781.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-61-2109	TCGA-61-2109-01A	Primary Tumor
c44d4c5c-b855-4e82-bd90-0f4b6c0e0015	75303476-cdec-4ae4-aaf5-01abdc3213ab.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-29-1778	TCGA-29-1778-01A	Primary Tumor
e9d3db55-84da-4064-8662-72807e4d59a5	528fc2fd-fded-426d-a62c-af4ba50e9645.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-09-1668	TCGA-09-1668-01B	Primary Tumor
8ea31edd-b2c9-4ff7-bc4a-12b3af24ceac	451aa144-4d34-4858-b81e-3458db34892b.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-23-1027	TCGA-23-1027-01A	Primary Tumor
567ced20-00cf-46f4-8bb8-a8553eba7f4b	b2552f6f-dd15-410f-a621-195d90f44831.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1417	TCGA-24-1417-01A	Primary Tumor
cb456b60-7252-48bd-b0e1-e77079df1ab3	cbe087ce-2924-4c5a-b307-51c80b41d6d8.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-1477	TCGA-13-1477-01A	Primary Tumor
6dbafc46-d850-47f4-a9ee-8f30b3f06260	95595a36-1582-4fb6-bf79-f0111b0abfc9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-23-2078	TCGA-23-2078-01A	Primary Tumor
22840fc8-95b5-4411-b13e-7adce009089a	a6542a39-6092-4a62-aa6d-51bfba48ef10.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-0804	TCGA-13-0804-01A	Primary Tumor
dd06caa9-008d-4d7d-afd9-7d8dc6f77d36	b1808878-10a4-4024-9359-70d7ef17a439.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-2026	TCGA-24-2026-01A	Primary Tumor
787405d2-849f-4438-b166-2dc0ed327b86	7dfc4c0f-bb68-4ac1-95fc-e2a3fee16704.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1413	TCGA-24-1413-01A	Primary Tumor
b15f7d4e-fafa-499e-b3ae-b895571687bf	8bb54b5a-d23c-46a2-839e-32355236477b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-31-1959	TCGA-31-1959-01A	Primary Tumor
5523cb49-46a9-48f0-9fe3-90d34d2fac3e	7b6e2a12-c537-4f1f-911f-d430bd864d2d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-0800	TCGA-13-0800-01A	Primary Tumor
df1d062c-5db7-421c-b1c8-d51f57faee74	d15fbebd-39c7-4714-b6f3-fe920cdd8bef.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-0920	TCGA-13-0920-01A	Primary Tumor
7525f3b0-b416-49d5-b839-40eaee3a42e4	0045a228-1dad-4ced-9bc6-5067aeee0518.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-25-1326	TCGA-25-1326-01A	Primary Tumor
69984aa4-8e6b-4f1c-9e6e-af774a4cbfd3	871da002-8649-42bc-8ce4-9d2a8ff66213.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-1403	TCGA-13-1403-01A	Primary Tumor
bed9afc1-0329-499f-a159-fb7bc0c61b55	60da3a1a-65ee-48fa-a08f-88b6d52a18c2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-25-1322	TCGA-25-1322-01A	Primary Tumor
3df2288f-e8e1-4996-9daa-bb65fa2935f9	6e6ab126-1ab3-428c-b780-a1a98c475154.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-23-1113	TCGA-23-1113-01A	Primary Tumor
6e2277c1-3077-4d8d-9f35-435f69f9cd1c	73ed989a-7f6a-4cff-a7f7-f99157535c7b.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-30-1714	TCGA-30-1714-01A	Primary Tumor
29ec8d3c-4557-4715-b7ed-92031c45ceb7	e8b90f89-c047-404e-9e04-5589ff43495a.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1428	TCGA-24-1428-01A	Primary Tumor
d7b9e4ef-01bf-49aa-b7c8-945073c57ffe	de855db4-12d8-47bc-855b-96f61d306541.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-30-1853	TCGA-30-1853-01A	Primary Tumor
d386a312-190e-40f8-85b9-9022ab696d91	86cb28d4-5dcd-4e7e-a4c9-c5a5b16a9739.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-25-1626	TCGA-25-1626-01A	Primary Tumor
4809258e-9835-49f4-92c1-09f97fcecebd	bd727430-2539-4897-a754-2c8d8de59f9e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1558	TCGA-24-1558-01A	Primary Tumor
eaf9ae41-e243-4c70-a59d-8303f2d42c38	1865f7a2-31da-4e7a-8cd5-a4c15372ffaf.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-2288	TCGA-24-2288-01A	Primary Tumor
70603898-1188-4ee8-9b85-2cb1bdc23fe7	86cb28d4-5dcd-4e7e-a4c9-c5a5b16a9739.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-25-1626	TCGA-25-1626-01A	Primary Tumor
f2b3afa2-2c72-4a53-95b8-75aad29aa904	1ade6fa3-de71-4760-9760-8abc10963255.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-0714	TCGA-13-0714-01A	Primary Tumor
147551cf-f984-4f4a-ac6e-5cb23abc82cc	c65d79cb-b639-4030-97d9-ddb84bc39195.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1425	TCGA-24-1425-01A	Primary Tumor
5b975486-3616-4036-aa46-a61fc486b72a	78c27c9c-843b-4e6a-a36a-1aa4dcb8decf.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-25-1321	TCGA-25-1321-01A	Primary Tumor
0c3730e5-1fdf-4519-bca9-8fb1753d5a1f	9e51cba1-f13e-46a1-b37a-99e6db2d6134.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-04-1530	TCGA-04-1530-01A	Primary Tumor
a9accddc-399f-4fa9-b513-34579d5d11f2	4722ba18-27f6-480d-975b-59742f9f0f89.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-5X-AA5U	TCGA-5X-AA5U-01A	Primary Tumor
27e07fa1-44f5-4956-9518-a61b29ee93b1	eb329194-22d5-4675-a982-0c2dd8e5a324.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-2035	TCGA-24-2035-01A	Primary Tumor
1d534ab0-4e5f-4463-b2b5-96ae2e4b9ce1	f76c1066-d6e9-4d27-a0ac-0a493d8e85f4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-57-1584	TCGA-57-1584-01A	Primary Tumor
5b5acf86-1477-4c4d-b0d7-cd425e8e17a3	01770ca7-0c13-4078-b956-a35dc68fbe28.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-30-1891	TCGA-30-1891-01A	Primary Tumor
e0cdf468-b2cc-4180-81fd-858576105afd	04098317-63b1-43eb-9b7f-e8e619e52781.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-61-2109	TCGA-61-2109-01A	Primary Tumor
1c841b7f-f124-4882-b91d-f26e041ad944	74318679-8eae-42ee-8721-fd38de88938a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-61-2012	TCGA-61-2012-01A	Primary Tumor
5b44f89b-5141-4133-a8e9-57043c08e579	3ad93b22-6d06-4c58-b365-2a0558bfb5f7.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	01OV030	5ea22f5e-307b-491d-801f-8b7fa6	Primary Tumor
6ffb1f25-5303-4a18-822e-e603f1d17e4b	31e45387-5c86-4d8e-9b54-da954ee4634f.htseq_counts.txt.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	04OV033	285fed94-1495-448e-879b-b55de9	Primary Tumor
5a2804d5-b524-42d8-b81d-5252ed5aabaf	756efdf3-3d00-42dd-b854-0054444a7de5.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	17OV018	28d0abdb-f682-4bd3-9425-a9c508	Primary Tumor
67269434-524f-4f93-9f58-3f4a2bd727fc	8f9f361d-ab82-4ae2-942a-a38c28650816.rna_seq.star_gene_counts.tsv.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	01OV030	5ea22f5e-307b-491d-801f-8b7fa6	Primary Tumor
998dd8bb-2c81-4442-bd7c-8b0482447e8a	f2f75957-c037-47a4-8dcb-4ad481dfe067.rna_seq.star_gene_counts.tsv.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	04OV021	fe83e13f-9754-403b-8f74-d6caf8	Primary Tumor
a408b714-4806-41a9-99b6-b3a43a36efe8	d0d025aa-fe72-4e2e-8f73-8a4a8fe6e1c0.rna_seq.star_gene_counts.tsv.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	13OV003	407c600a-c0ac-41a6-8d87-fd8a3c	Primary Tumor
a9acf820-25f5-4172-987d-43a0606e748f	b6e2880f-05e2-4e86-bdac-736fdf42b4cd.rna_seq.star_gene_counts.tsv.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	01OV049	256ac9f5-1e19-44b4-92fb-fef3fc	Primary Tumor
635a6fa0-eb54-48e2-be22-0140d00f5173	68ebef00-5c43-475a-9117-33ea920cab69.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	04OV051	76e77c6b-c80e-4391-bdbb-e1dcea	Primary Tumor
c332d145-63f6-4eb7-9d06-265285d6a8ab	abcc055e-7f99-4caa-92ec-a2d1fa88bba1.rna_seq.star_gene_counts.tsv.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	04OV057	7069e990-4a4e-4984-a66d-4d835a	Primary Tumor
b638ebe2-e751-4f7b-acd6-2eaf70520b62	ea70df70-0135-4ac7-8f65-f2b7839ebc23.htseq_counts.txt.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	13OV003	407c600a-c0ac-41a6-8d87-fd8a3c	Primary Tumor
ab771ed2-da55-4952-a9b2-0de07217edd7	268f16d3-c2c3-4b06-9c31-d89b8aa2f9e2.rna_seq.star_gene_counts.tsv.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	04OV031	e67153d3-61af-49d6-9402-599b39	Primary Tumor
31bbbe9d-a29d-4e10-a779-21c693ee82a1	faf78582-3ccd-4ee7-8193-92ed0945fd6c.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	01OV046	558333b0-ea23-4303-9e3c-4932b1	Primary Tumor
78ceb731-6a59-41ab-9b34-fa4afe20ded4	d1488c77-de3d-4bfe-aee9-7c398f62d8ec.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	CPTAC-2	17OV040	f4034d75-d533-47c2-8453-068e37	Primary Tumor
